"","POINT_ID","sci12_010_1km","sci13_010_1km","sci14_010_1km","sci15_010_1km","sci16_010_1km","sci17_010_1km","sci18_010_1km","sci19_010_1km","sci20_010_1km","sci21_010_1km","sci11_1040_1km","sci12_1040_1km","sci13_1040_1km","sci14_1040_1km","sci15_1040_1km","sci16_1040_1km","sci17_1040_1km","sci18_1040_1km","sci19_1040_1km","sci20_1040_1km","sci21_1040_1km","sci11_4070_1km","sci12_4070_1km","sci13_4070_1km","sci14_4070_1km","sci15_4070_1km","sci16_4070_1km","sci17_4070_1km","sci18_4070_1km","sci19_4070_1km","sci20_4070_1km","sci21_4070_1km","sci11_GT70_1km","sci12_GT70_1km","sci13_GT70_1km","sci14_GT70_1km","sci15_GT70_1km","sci16_GT70_1km","sci17_GT70_1km","sci18_GT70_1km","sci19_GT70_1km","sci20_GT70_1km","sci21_GT70_1km"
"177","EMPAID_1WS03",0,0,0,0,0,0,0.0586682,0.0586682,0.0586682,0.0586682,13.0243473,14.3150482,15.5764151,16.3391018,17.7178059,20.2405396,20.5045471,20.7098846,20.7098846,20.4752121,20.9738922,67.3804626,68.0844803,67.4097977,67.1164551,68.3778229,64.6230545,64.6817245,64.1830444,64.7697296,65.0337372,64.476387,16.1924324,14.1977119,13.6110296,13.1416836,10.5016136,11.7336464,11.4109707,11.6456442,11.0589619,11.0296278,11.0882959
"178","EMPAID_1WS04",0,0,0,0,0.0293341,0.0293341,0.0586682,0.0586682,0.0880023,0.0880023,13.6110296,14.9603987,16.2804337,17.1017895,17.9818134,19.976532,20.445879,20.7978878,20.8272228,20.7098846,21.0912285,67.3511276,68.0551453,67.6151352,67.2044601,67.4391327,64.2710495,64.1537094,63.567028,64.1243744,64.2417145,63.7430344,14.4910526,12.437665,11.557642,11.1469641,10.0322676,11.1762981,10.8242884,11.0296278,10.4429455,10.4136114,10.5309477
"179","EMPAID_1WS05",0,0,0,0,0.0293341,0.0586682,0.1173365,0.0880023,0.1173365,0.1173365,12.5550013,13.9337053,15.10707,16.016428,17.1311226,18.8911705,19.3311825,19.3898506,19.59519,19.565855,20.0938683,68.3191528,68.5831604,68.2898178,67.7324753,67.5858002,64.505722,64.3003845,63.9777069,64.3590469,64.3590469,63.8310356,13.6403637,11.997653,11.11763,10.7656202,9.797595,11.0882959,10.8242884,11.0296278,10.4722795,10.4722795,10.4722795
"180","EMPAID_1WS06",0,0,0,0.0293341,0.0880023,0.1466706,0.2053388,0.2053388,0.2933412,0.3520094,14.0510416,15.3417425,16.5444412,17.5711346,18.7151661,20.2992077,20.7098846,21.0912285,21.3845711,21.2378998,21.5019073,64.7403946,65.0044022,64.476387,63.8310356,63.2150192,60.6336174,60.3989449,59.8709297,60.046936,60.017601,59.5775871,12.437665,10.8829565,10.208272,9.8269291,9.2695808,10.208272,9.9735994,10.0616016,9.5922556,9.6802578,9.797595
"181","EMPAID_1WS07",0,0,0,0.0293341,0.1466706,0.2346729,0.2933412,0.3520094,0.49868,0.5573482,16.6911125,17.9231453,19.125843,20.1818714,21.3845711,23.0859489,23.5846291,23.9659729,24.1713104,24.0539742,24.3179817,59.8122635,59.958931,59.3429146,58.4628906,57.729538,55.7054863,55.2948074,54.678791,54.5614548,54.649456,54.0921097,10.208272,8.8295689,8.2428865,8.0668821,7.568202,7.7735405,7.5975361,7.7735405,7.6268702,7.5095334,7.7442064
"182","EMPAID_1WS08",0.0293341,0.0293341,0.0293341,0.0586682,0.1466706,0.2053388,0.2346729,0.2933412,0.4106776,0.4400117,16.4564381,17.5124664,18.5391617,19.3311825,20.1232033,21.4725723,22.1765919,22.4992676,22.4699326,22.4699326,22.7926083,61.4843063,61.7189789,61.3083,60.8096199,60.5749474,58.1108818,57.788208,57.2895279,57.5535355,57.3775291,56.6148415,12.0269871,10.7362862,10.1202698,9.8269291,9.2402468,10.2669401,9.8269291,9.9735994,9.6802578,9.7389259,10.1496038
"183","EMPAID_1WS09",0.0293341,0.0293341,0.0293341,0.0586682,0.1173365,0.1466706,0.1760047,0.264007,0.3813435,0.4106776,14.4910526,15.3710766,16.1630974,16.8671169,17.6298027,18.3044872,19.3898506,19.59519,19.4778519,19.6245232,19.7418594,59.8709297,59.9295998,59.6069221,59.3135834,59.1962471,57.3188629,56.7028465,56.4095039,56.7908478,56.4095039,55.7641525,13.9043703,12.9656792,12.4963331,12.0856552,11.4109707,12.5550013,12.0563211,12.1149893,11.7629805,11.8803167,12.3789968
"184","EMPAID_M01",0,0.0293341,0.0293341,0.0293341,0.0586682,0.0880023,0.0880023,0.0880023,0.1466706,0.3226753,8.2428865,9.1522436,10.1496038,10.9122906,11.8803167,15.6937523,16.1924324,16.6324444,16.5444412,16.2804337,16.1044292,42.3877983,44.7638588,46.611908,49.1346436,49.2519798,45.5558815,45.6732178,45.8785553,46.3185692,46.670578,46.3185692,44.47052,41.1850967,38.3103561,35.0249329,33.9395714,33.7929001,33.1475525,32.5022011,32.1501923,32.003521,32.3555298
"185","EMPAID_M10",0,0.0293341,0.0293341,0.0293341,0.0293341,0.0586682,0.0586682,0.0586682,0.0880023,0.1173365,8.8002348,9.5922556,10.0909357,11.0296278,12.2616606,16.1630974,16.2804337,16.3391018,16.6617775,15.8404226,15.7230864,51.3053665,50.8653564,50.9826927,52.3907318,52.8307419,49.2813148,49.6039886,49.9853325,49.8679962,50.7773552,50.6013489,32.9715462,32.6195374,31.9741859,29.6274567,27.9554119,27.6034031,27.1340561,26.694046,26.4887066,26.3713703,26.6353779
"186","EMPAID_M02",0,0.0293341,0.0293341,0.0293341,0.0586682,0.0880023,0.0880023,0.1173365,0.1760047,0.4106776,10.0909357,11.0002937,12.4083309,13.6403637,14.8723965,19.2431793,19.6831913,20.7392197,20.7392197,20.5338802,20.3578758,45.7318878,48.0199471,49.1933136,50.8946915,50.7186852,46.3479042,46.5239067,45.9665604,46.3772354,46.7879143,46.4945717,38.7210312,35.523613,32.9128761,29.9794655,28.9234371,28.894104,28.2487526,27.7500725,27.3100624,27.0460548,27.2807274
