Visit_ID,Species,Sex,Detection,Distance_class,Behavior,Time_left_min,Time_left_sec,Comments,Period
TR607_06_2014-05-05,WHWO,M,V,0_50,F,4,18,"Saw before starting count, lost sight, then reappeared after starting",DU
TR607_06_2015-05-18,WHWO,U,A,50_150,F,2,20,,DU
TR607_07_2011-05-09,WHWO,F,A,ovr_50,C,999,999,,DU
TR607_07_2011-06-07,WHWO,U,A,ovr_50,C,999,999,,DU
TR607_07_2012-05-16,WHWO,P,V,0_50,F,4,30,,DU
TR607_07_2014-06-03,WHWO,U,V,0_50,P,1,40,,DU
TR607_07_2015-06-15,WHWO,F,V,0_50,F P,4,9,could be same bird or with bird from pt8,DU
TR607_08_2012-06-21,WHWO,P,V,0_50,P,2,50,,DU
TR607_08_2014-05-05,WHWO,F,V,0_50,F,2,34,"2 males, 1 female on same tree",DU
TR607_08_2014-05-05,WHWO,M,V,0_50,F,2,34,"2 males, 1 female on same tree",DU
TR607_08_2014-05-05,WHWO,M,V,0_50,F,2,34,"2 males, 1 female on same tree",DU
TR607_08_2014-06-03,WHWO,M,V,50_150,P,1,49,,DU
TR607_08_2015-06-15,WHWO,U,V,0_50,FL,3,34,,DU
TR607_09_2012-05-16,WHWO,U,A,50_150,C,4,30,,DU
TR607_09_2013-05-06,WHWO,P,V,0_50,F,,,"visual detection ,pair after time was up, saw one fly in, then saw the mate",AF
TR607_09_2014-05-05,WHWO,P,A,0_50,P,2,10,think it is a different WHWO than from one detected at last pt,DU
TR607_10_2011-06-07,WHWO,M,V,0_50,C,999,999,,DU
TR607_10_2012-05-16,WHWO,F,V,50_150,D,1,55,,DU
TR607_10_2012-06-21,WHWO,U,A,ovr_150,999,3,56,,DU
TR607_10_2013-05-06,WHWO,P,V,0_50,C D F,0,48,"visual , this is the same pair that was obs after the survey at station 9",DU
TR607_10_2014-06-03,WHWO,U,V,50_150,P,3,40,,DU
TR607_10_2014-06-03,WHWO,U,V,0_50,P,3,15,same bird as was seen in further distance class,DU
TR607_10_2015-05-18,WHWO,U,V,0_50,FL,3,50,,DU
TR611_01_2014-06-12,WHWO,M,A,50_150,D F,0,23,"drumming, then flew, then forage",DU
TR611_05_2013-05-30,WHWO,U,A,50_150,D,2,59,"pretty confident same male as at point 7,6",DU
