ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
LKV-0438,5.6908183,5.5148139,5.4854798,5.3094749,5.1628041,5.1921387,5.1628041,5.0748019,4.9867997,5.104136,7.4801993,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0439,0.0586682,0.0586682,0.0586682,0.0586682,0.0586682,0.0586682,0.0586682,0.0880023,0.0293341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0440,0.0586682,0.0586682,0.0586682,0.0586682,0.0586682,0.0586682,0.0586682,0.0880023,0.0293341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0441,4.2827806,4.2534466,4.3414493,4.3414493,4.1654444,4.0774422,3.9601057,3.9601057,4.018774,4.1654444,5.0454679,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0442,5.8374891,5.8081551,5.7201524,5.778821,5.6614842,5.573482,5.4268112,5.3974771,5.544148,5.9548254,8.448225,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0443,4.7227926,4.6641245,4.5174537,4.6054564,4.3414493,4.1947784,4.0481081,4.018774,3.9307716,4.2241125,5.6028161,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0444,20.2992077,19.976532,19.6245232,19.5365219,19.4191837,19.0671749,18.8325024,18.9791737,18.7444992,19.1551781,24.1713104,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0445,36.4036369,35.6996193,35.494278,35.1716042,34.9369316,34.5849228,34.4969215,34.2915802,34.2035789,34.4089165,40.3050766,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0446,32.5902023,32.2968597,32.3555298,32.003521,31.534174,31.7101784,31.4461727,31.2114983,31.1528301,31.6808453,44.47052,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0447,16.89645,16.8084488,16.5737762,16.5151062,16.3391018,16.4857731,16.3684368,16.1044292,16.2511005,16.7791138,27.7794075,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0448,29.334116,29.2461128,28.9821053,28.6300964,28.5420952,27.8967438,27.5740681,27.3980637,27.7794075,28.3367558,40.891758,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0449,51.1880302,51.1880302,50.8360214,50.5133476,50.2493401,50.8653564,50.4253464,50.102668799999996,50.19067,50.0146675,66.5297775,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0450,53.9454384,52.8307419,51.3640366,49.8679962,48.3426208,49.6333237,49.0759735,48.3426208,47.6386032,46.611908,66.0897598,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0451,54.3854485,53.0654144,51.5400429,48.7239647,46.1425629,46.8172493,47.1985931,45.790554,44.499855,43.4438248,59.3135834,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0452,43.3558235,42.8864784,41.5664406,39.982399,38.3983574,39.8063965,40.6277504,39.4837189,38.1050148,36.432972,41.1850967,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0453,33.8809052,32.3261948,30.5954819,29.5687885,28.1020832,28.7474327,28.2780876,27.8674107,26.5473747,25.6380177,37.577003499999996,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0454,55.3241425,54.0041084,52.6840706,51.0413628,48.9586372,49.6333237,48.4599571,47.1399231,44.8811951,43.2384872,61.8949852,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0455,54.0041084,54.8254623,54.5321198,54.0041084,53.4174232,52.2147255,52.6840706,51.6867104,50.0733337,47.8439407,59.3429146,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0456,49.3106499,50.7480202,50.9240265,50.8946915,50.6893501,50.220005,50.6013489,50.6893501,49.9266663,48.1079483,58.5802307,0,0,0,0,0,0.1173365,0.1173365,0.1173365,0.1173365,0.1173365,0.1173365,0.1173365,0.1173365
LKV-0457,49.897331200000004,50.0146675,50.220005,50.3960114,50.2786751,50.3666763,50.6013489,50.3960114,49.7506599,48.1079483,57.1428566,0,0,0,4.3707833,5.2508068,5.2508068,5.2508068,5.2508068,5.2508068,5.2508068,5.2508068,5.2508068,5.2508068
LKV-0458,42.7398071,42.5051346,42.7398071,43.2384872,43.5904961,43.121151,43.4731598,43.0918159,41.7717819,39.953064,43.1798172,0,0,0,3.549428,7.7735405,9.7389259,9.7389259,9.7389259,9.7389259,9.7389259,9.7389259,9.7389259,9.7389259
LKV-0459,45.9372253,46.9345856,47.4919319,48.7239647,49.3106499,49.1933136,50.7480202,50.7480202,49.9853325,48.4892921,46.377235400000004,0,0,0,0,6.0428276,6.0721622,6.0721622,6.0721622,6.0721622,6.0721622,6.0721622,6.0721622,6.0721622
LKV-0460,36.0222931,36.902317,37.3423309,38.2223511,38.3396873,37.9876785,39.4543839,39.2490463,38.9850388,38.2810211,37.3129959,0,0,0,0,5.104136,5.104136,5.104136,5.104136,5.104136,5.104136,5.104136,5.104136,5.104136
LKV-0461,38.3396873,38.3396873,38.5156937,38.3103561,38.1636848,35.9929581,36.462307,36.3743019,35.7582855,35.582283,34.9956017,0,0,0,0,1.5840422,1.5840422,1.5840422,1.5840422,1.5840422,1.5840422,1.5840422,1.5840422,1.5840422
LKV-0462,34.3209152,33.382225,32.414196,31.2408333,30.0674686,27.8087406,27.1927242,26.224699,25.2566738,24.435318,23.6139622,0.3520094,0.3520094,0.3520094,0.3520094,0.3520094,0.3520094,0.3520094,0.3520094,0.3520094,0.3520094,0.3520094,0.3520094,0.3520094
LKV-0463,21.6779118,21.0912285,20.5632153,19.7418594,18.9791737,18.3044872,17.6298027,16.9551182,16.2511005,15.8990908,15.547081,19.7418594,19.7418594,19.7418594,19.7418594,19.7418594,19.7418594,19.7418594,19.7418594,19.7418594,19.7418594,19.7418594,19.7418594,19.7418594
LKV-0464,25.4913464,25.2860069,25.2566738,25.0806694,25.051334399999998,24.4059849,24.4059849,24.435318,24.3473167,24.4939861,24.6406574,11.4989729,11.4989729,11.4989729,11.4989729,11.4989729,11.4989729,11.4989729,11.4989729,11.4989729,11.4989729,11.4989729,11.4989729,11.4989729
LKV-0465,23.8779697,23.555294,23.2032852,23.085948900000002,22.8219414,22.5286007,22.4112644,22.3232613,22.2939281,22.2939281,22.4699326,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0466,11.528307,11.3229685,11.0882959,11.0002937,10.7069521,10.4429455,10.208272,9.9735994,9.8562632,9.8562632,10.0029335,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0467,3.6960986,3.6960986,3.6960986,3.7254326,3.5787621,3.5200939,3.5200939,3.4614255,3.4614255,3.4614255,3.3440893,0,0,0,0,0,0,0,0,0,0,0,0,0
