ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
MAL-0404,23.4379578,22.7339401,22.2939281,21.5019073,21.1205635,25.3446751,25.1100025,24.0833092,23.0272808,22.4992676,22.3819294,10.7362862,14.0803757,14.0803757,14.0803757,14.0803757,14.0803757,14.0803757,14.0803757,14.0803757,14.0803757,14.0803757,17.7178059,17.7178059
MAL-0405,8.9762392,8.5948963,8.5362272,8.4775591,8.5948963,9.0642414,9.1229095,8.6242304,8.1548843,8.0375481,7.8322086,19.6245232,20.3578758,20.3578758,20.3578758,20.3578758,20.3578758,20.3578758,20.3578758,20.3578758,20.3578758,20.3578758,20.3578758,20.3578758
MAL-0406,9.2109127,8.5068932,8.2428865,8.0668821,7.9788795,8.6535645,8.8589029,8.5655613,8.008214,7.9788795,7.8908772,5.1628041,5.1628041,5.1628041,5.1628041,5.1628041,5.1628041,5.1628041,5.1628041,5.1628041,5.1628041,5.1628041,5.1628041,5.1628041
MAL-0407,10.2669401,9.2402468,8.3015547,7.7148724,7.12819,8.3602228,8.5362272,8.4775591,8.3308887,7.8908772,7.8322086,12.1149893,12.1149893,12.1149893,12.1149893,12.1149893,12.1149893,12.1149893,12.1149893,12.1149893,12.1149893,12.1149893,13.0830154,13.0830154
MAL-0408,9.0055733,8.4775591,7.4801993,6.6881785,6.2188325,6.6881785,6.3948374,5.9254913,5.7494864,5.5148139,5.3681431,19.3898506,19.3898506,19.3898506,19.3898506,19.3898506,19.3898506,19.3898506,19.3898506,19.3898506,19.3898506,19.3898506,22.3232613,22.3232613
MAL-0409,18.3044872,18.2751541,18.3338223,18.187151,18.5391617,20.6805515,20.2698746,19.976532,19.8885307,19.7125263,19.8298626,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666
MAL-0410,27.3100624,27.3687305,27.5153999,27.2513943,28.3074207,32.0621872,32.032856,32.1795235,31.7101784,31.534174,32.2968597,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047
MAL-0411,19.8591957,20.005867,20.416544,20.416544,20.7978878,23.2326202,23.0272808,23.2326202,22.7926083,22.6166039,23.085948900000002,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0412,25.9606915,25.9606915,26.4300385,26.1660309,26.7527142,26.8993835,27.1927242,26.7527142,26.6060429,26.5473747,26.1073627,0,0,0,0,0,0,2.2000587,2.2000587,2.2000587,2.2000587,2.2000587,2.2000587,2.2000587
MAL-0413,33.4702263,33.4115562,33.2648888,32.9422112,33.5875626,34.4969215,34.7902603,34.2035789,34.0275726,33.7635689,33.2062187,0,0,0,0,0.0293341,0.0293341,4.9574656,4.9574656,4.9574656,4.9574656,4.9574656,4.9574656,4.9574656
MAL-0414,34.643589,35.0542679,35.2302742,35.4356117,42.3584633,42.9451447,42.6811371,42.5638008,42.4464645,42.0064545,42.0064545,0,0,0,0,17.9231453,17.9231453,17.9231453,17.9231453,17.9231453,17.9231453,17.9231453,17.9231453,17.9231453
MAL-0415,35.8756218,36.3156357,36.872982,37.0489883,48.4892921,50.5133476,51.0413628,50.8653564,50.9240265,50.8360214,50.6600189,0,0,0,0,30.0674686,30.0674686,30.0674686,30.0674686,30.0674686,30.0674686,30.0674686,30.0674686,30.0674686
MAL-0416,44.6758575,44.0598412,43.121151,42.4464645,47.9026108,51.4813728,51.7747154,51.158699,51.2467003,50.9240265,50.6600189,0,0,0,0,11.7336464,11.7336464,11.7336464,11.7336464,11.7336464,11.7336464,11.7336464,11.7336464,11.7336464
