"","Nest_ID","NoFNstl","NoMNstl","Initiation_date","Year_located","Project_ID","Transect_ID2","Init_day","transect"
"55","EMMAOR_NCUBT2-10A_2021",1,2,"2021-05-24",2021,"EMMAOR","EMMAOR_CUBT2",144,"EMMAOR_NCUBT2"
"56","EMMAOR_NDUGC1-01A_2016",1,2,"2016-05-22",2016,"EMMAOR","EMMAOR_DUGC1",143,"EMMAOR_NDUGC1"
"57","EMMAOR_NDUGC1-01A_2017",1,1,"2017-05-18",2017,"EMMAOR","EMMAOR_DUGC1",138,"EMMAOR_NDUGC1"
"58","EMMAOR_NDUGC1-05A_2017",1,2,"2017-05-27",2017,"EMMAOR","EMMAOR_DUGC1",147,"EMMAOR_NDUGC1"
"59","EMMAOR_NDUGC1-06B_2017",2,1,"2017-05-19",2017,"EMMAOR","95",139,"EMMAOR_NDUGC1"
"60","EMMAOR_NDUGC1-10A_2016",1,2,"2016-06-11",2016,"EMMAOR","EMMAOR_DUGC1",163,"EMMAOR_NDUGC1"
"61","EMMAOR_NELKT2-02A_2021",2,1,"2021-05-28",2021,"EMMAOR","EMMAOR_ELKT2",148,"EMMAOR_NELKT2"
"62","EMMAOR_NELKT2-04A_2016",1,2,"2016-05-27",2016,"EMMAOR","104",148,"EMMAOR_NELKT2"
"63","EMMAOR_NELKT2-04A_2017",1,2,"2017-05-21",2017,"EMMAOR","105",141,"EMMAOR_NELKT2"
"64","EMMAOR_NELKT2-05A_2019",1,2,"2019-05-25",2019,"EMMAOR","EMMAOR_ELKT2",145,"EMMAOR_NELKT2"
"65","EMMAOR_NELKT2-06A_2017",2,1,"2017-05-17",2017,"EMMAOR","EMMAOR_ELKT2",137,"EMMAOR_NELKT2"
"66","EMMAOR_NELKT2-07A_2021",0,2,"2021-05-28",2021,"EMMAOR","EMMAOR_ELKT2",148,"EMMAOR_NELKT2"
"67","EMMAOR_NELKT2-10A_2019",1,1,"2019-05-29",2019,"EMMAOR","EMMAOR_ELKT2",149,"EMMAOR_NELKT2"
"68","EMMAOR_NELKT3-01A_2017",1,2,"2017-05-26",2017,"EMMAOR","EMMAOR_ELKT3",146,"EMMAOR_NELKT3"
"69","EMMAOR_NELKT3-08A_2021",0,3,"2021-06-08",2021,"EMMAOR","EMMAOR_ELKT3",159,"EMMAOR_NELKT3"
"70","EMMAOR_NFLAGC1-05A_2019",2,1,"2019-05-30",2019,"EMMAOR","EMMAOR_FLAGC1",150,"EMMAOR_NFLAGC1"
"71","EMMAOR_NFLAGC1-06A_2017",2,1,"2017-05-25",2017,"EMMAOR","EMMAOR_FLAGC1",145,"EMMAOR_NFLAGC1"
"72","EMMAOR_NFLAGC2-03A_2019",1,1,"2019-06-05",2019,"EMMAOR","EMMAOR_FLAGC2",156,"EMMAOR_NFLAGC2"
"73","EMMAOR_NMDC1-07A_2017",2,2,"2017-05-21",2017,"EMMAOR","EMMAOR_MDC1",141,"EMMAOR_NMDC1"
"74","EMMAOR_NPAWT1-03A_2016",1,1,"2016-06-03",2016,"EMMAOR","EMMAOR_PAWT1",155,"EMMAOR_NPAWT1"
"75","EMMAOR_NPAWT1-03A_2021",2,1,"2021-05-28",2021,"EMMAOR","EMMAOR_PAWT1",148,"EMMAOR_NPAWT1"
"76","EMMAOR_NPAWT1-05A_2019",2,0,"2019-05-25",2019,"EMMAOR","EMMAOR_PAWT1",145,"EMMAOR_NPAWT1"
"77","EMMAOR_NPAWT1-05A_2021",0,3,"2021-05-25",2021,"EMMAOR","EMMAOR_PAWT1",145,"EMMAOR_NPAWT1"
"78","EMMAOR_NPAWT1-08A_2021",3,1,"2021-06-04",2021,"EMMAOR","EMMAOR_PAWT1",155,"EMMAOR_NPAWT1"
"79","EMMAOR_NPAWT1-09A_2019",2,0,"2019-05-17",2019,"EMMAOR","EMMAOR_PAWT1",137,"EMMAOR_NPAWT1"
"80","EMMAOR_NPRONGC1-01A_2019",1,2,"2019-05-20",2019,"EMMAOR","143",140,"EMMAOR_NPRONGC1"
"81","EMMAOR_NRATT1-03A_2017",1,2,"2017-05-30",2017,"EMMAOR","EMMAOR_RATT1",150,"EMMAOR_NRATT1"
"82","EMMAOR_NRATT1-10A_2016",0,2,"2016-05-27",2016,"EMMAOR","EMMAOR_RATT1",148,"EMMAOR_NRATT1"
"83","EMMAOR_NRATT1-10A_2017",1,0,"2017-05-26",2017,"EMMAOR","EMMAOR_RATT1",146,"EMMAOR_NRATT1"
"84","EMMAOR_NRATT2-10A_2017",2,1,"2017-05-27",2017,"EMMAOR","EMMAOR_RATT2",147,"EMMAOR_NRATT2"
"85","EMMAOR_NSAGEC1-08A_2019",1,2,"2019-06-06",2019,"EMMAOR","EMMAOR_SAGEC1",157,"EMMAOR_NSAGEC1"
"86","EMMAOR_NSAGEC1-09A_2019",2,1,"2019-05-18",2019,"EMMAOR","EMMAOR_SAGEC1",138,"EMMAOR_NSAGEC1"
"87","EMMAOR_NSAGEC1-10A_2019",0,2,"2019-05-20",2019,"EMMAOR","EMMAOR_SAGEC1",140,"EMMAOR_NSAGEC1"
"88","EMMAOR_NUPCA1-04A_2017",0,3,"2017-05-23",2017,"EMMAOR","EMMAOR_UPCA1",143,"EMMAOR_NUPCA1"
"89","EMMAOR_NUPCA1-05A_2017",3,0,"2017-05-22",2017,"EMMAOR","EMMAOR_UPCA1",142,"EMMAOR_NUPCA1"
"90","EMMAOR_NUPCA1-08A_2017",1,2,"2017-05-22",2017,"EMMAOR","EMMAOR_UPCA1",142,"EMMAOR_NUPCA1"
"91","EMMAOR_NUPCB1-04A_2017",0,2,"2017-05-24",2017,"EMMAOR","EMMAOR_UPCB1",144,"EMMAOR_NUPCB1"
"92","EMMAOR_NUPCB1-07A_2017",0,2,"2017-06-01",2017,"EMMAOR","EMMAOR_UPCB1",152,"EMMAOR_NUPCB1"
"93","EMMAOR_NUPCB1-07A_2019",0,3,"2019-05-30",2019,"EMMAOR","EMMAOR_UPCB1",150,"EMMAOR_NUPCB1"
"94","EMMAOR_NWOLFC1-01A_2017",1,2,"2017-05-25",2017,"EMMAOR","EMMAOR_WOLFC1",145,"EMMAOR_NWOLFC1"
