"","POINT_ID","Ha211_1000","Ha212_1000","Ha213_1000","Ha214_1000","Ha215_1000","Ha216_1000","Ha217_1000","Ha218_1000","Ha219_1000","Ha220_1000","Ha221_1000","Bu211_1000","Bu212_1000","Bu213_1000","Bu214_1000","Bu215_1000","Bu216_1000","Bu217_1000","Bu218_1000","Bu219_1000","Bu220_1000","Bu221_1000","X1shdi211","X1shdi212","X1shdi213","X1shdi214","X1shdi215","X1shdi216","X1shdi217","X1shdi218","X1shdi219","X1shdi220","X1shdi221"
"11","EMFWOR_LILT2-01",0,0,0,0,0,7.4215298,7.4215298,73.3646011,73.3646011,73.3646011,73.8046036,0,0,0,0,0,0,0,0,46.4945984,72.3086014,73.3646011,0,0,0,0,0,0,0,0.327623,0.327623,0.327623,0.362153
"12","EMFWOR_LILT2-02",0,0,0,0,0,8.9175701,8.9175701,73.7165985,73.7165985,73.7165985,73.8046036,0,0,0,0,0,0,0,0,46.7585983,69.3164978,73.7165985,0,0,0,0,0,0,0,0.368855,0.368855,0.368855,0.377634
"13","EMFWOR_LILT2-03",0,0,0,0,0,7.2455301,7.2455301,81.6368027,81.6368027,81.6368027,81.6368027,0,0,0,0,0,0,0,0,62.716301,81.1968002,81.6368027,0,0,0,0,0,0,0,0.299644,0.299644,0.299644,0.299644
"14","EMFWOR_LILT2-04",0,0,0,0,0,9.0349102,9.0349102,71.8392029,71.8685989,71.8685989,71.8685989,0,0,0,0,0,0,0,0,57.9348984,70.3432007,71.8685989,0,0,0,0,0,0,0,0.378257,0.381696,0.381696,0.381696
"15","EMFWOR_LILT2-05",0,0,0,0,0,8.5068903,8.5068903,63.3909988,63.7136993,63.7136993,63.7136993,0,0,0,0,0,0,0,0,50.9827003,59.8123016,63.7136993,0,0,0,0,0,0,0,0.394288,0.424111,0.424111,0.424111
"16","EMFWOR_LILT2-06",0,0,0,0,0,5.33881,5.33881,67.615097,68.0845032,68.0845032,68.3485031,0,0,0,0,0,0,0,0,61.6310005,67.4097977,68.3485031,0,0,0,0,0,0,0,0.276219,0.315495,0.315495,0.339594
"17","EMFWOR_LILT2-07",0,0,0,0,0,4.04811,4.04811,57.7882004,61.1910019,61.1910019,61.3376007,0,0,0,0,0,0,0,0,53.358799,58.7268982,61.3376007,0,0,0,0,0,0,0,0.25377,0.454368,0.454368,0.470103
"18","EMFWOR_LILT2-08",0,0,0,0,0,0.704019,0.704019,58.2868996,65.0631027,65.0631027,65.5030975,0,0,0,0,0,0,0,0,62.6576996,64.5643997,65.5030975,0,0,0,0,0,0,0,0.0653479,0.392644,0.392644,0.430309
"19","EMFWOR_LILT2-09",0,0,0,0,0,5.33881,5.33881,56.8494987,64.4764023,64.4764023,64.9163971,0,0,0,0,0,0,0,0,54.5321007,61.8950005,64.9163971,0,0,0,0,0,0,0,0.311495,0.638151,0.638151,0.674431
"20","EMFWOR_LILT2-10",0,0,0,0,0,5.6321502,5.6321502,54.4440994,61.6310005,63.5377007,64.4470978,0,0,0,0,0,0,0,0,54.9135017,62.5402985,64.4470978,0,0,0,0,0,0,0,0.332594,0.653928,0.769078,0.832358
